Title: HST survey of the Orion Nebula Cluster in the H_2_O 1.4um absorption 
       band: I. A census of substellar and planetary mass objects  
Authors: Robberto M., Gennaro M., Gabellini M.G.U., Hillenbrand L.A., 
    Pacifici C., Ubeda L., Andersen M., Bartman T., Bellini A., Da Rio N., 
    de Mink S., Lodato G., Manara C.F., Platais I., Pueyo L., Soderblom D.R., 
    Strampelli G.M., Tan J., Testi L.
Table: Estimated parameters of the ONC sample
================================================================================
Byte-by-byte Description of file: apjab911et4_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---     index    Sequential running number 
   6- 10 F5.2   [-]     log(BF)  Base-10 Logarithm of the Bayes Factor
  12- 15 F4.2   solMass Mstar    Mass, solar units
  17- 20 I4     K       Teff     Effective Temperature
  22- 27 F6.2   mag     Av       Extinction estimated using distance from IR isochrone
--------------------------------------------------------------------------------
1407  2.00 0.29 3273   0.57
1408  2.00 0.15 3118  -1.54
1409  2.00 0.12 3051  -2.83
1410  2.00 0.41 3366   3.48
1411  2.00 0.41 3361   3.75
1412  2.00 0.14 3107  -0.72
1413  2.00 0.30 3283   3.40
1414  2.00 0.27 3260   3.56
1415  2.00 0.24 3229   2.54
1416  2.00 0.13 3066  -0.07
1417  2.00 0.13 3082   0.32
1418  2.00 0.16 3143   1.79
1419  2.00 0.11 3032  -0.34
1420  2.00 0.11 3023  -0.07
1421  2.00 0.17 3148   2.76
1422  0.52 0.66 3559   9.69
1423  2.00 0.16 3131   2.53
1424  0.91 0.22 3217   4.25
1425  2.00 0.12 3039   0.57
1426  2.00 0.14 3094   2.02
1427  2.00 0.07 2842  -3.90
1428  0.64 0.56 3473   8.96
1429  2.00 0.10 2860  -0.17
1430  0.45 0.73 3616  10.84
1431  2.00 0.07 2849  -2.35
1432  2.00 0.11 2977   2.53
1433  2.00 0.07 2854  -0.17
1434 -0.41 0.17 3149  10.11
1435  0.95 0.03 2635   0.70
1437  1.00 0.02 2512   0.53
1438  0.40 0.04 2712   5.20
1440  0.90 0.02 2407   2.22
1441  0.74 0.02 2472   4.30
1444  0.76 0.00 1881  -7.72
1449 -0.27 0.00 1773  -0.84
1452  2.00 0.93 3768  -3.46
1453  2.00 1.11 3874  -1.62
1454  2.00 1.08 3857  -1.01
1461  2.00 1.02 3825   0.50
1465  2.00 0.67 3566   0.37
1466  2.00 0.22 3212  -2.34
1467  2.00 0.54 3460   1.92
1468  2.00 0.32 3294   0.21
1469  2.00 0.56 3479   2.91
1470  2.00 0.39 3347   1.38
1471  2.00 0.26 3246  -0.31
1472  2.00 0.30 3280   0.61
1473  2.00 0.36 3327   1.57
1474  2.00 0.48 3413   3.04
1475  2.00 0.72 3609   4.64
1476  2.00 0.29 3276   1.11
1477  2.00 0.18 3167  -0.15
1478  2.00 0.17 3159   0.55
1479  2.00 0.32 3299   3.22
1480  2.00 0.11 2987  -2.60
1481  2.00 0.10 2894  -1.76
1482  2.00 0.10 2903  -0.62
1483  2.00 0.21 3205   2.88
1484  2.00 0.14 3106   1.63
1485  2.00 0.10 2886  -1.08
1486  2.00 0.15 3113   3.28
1487  0.55 0.47 3406   8.75
1488  0.40 0.73 3614  11.12
1489  0.14 0.13 3082   4.91
1490  0.83 0.34 3310   6.84
1491  0.90 0.14 3106   4.07
1492  2.00 0.07 2843  -0.91
1493  2.00 0.04 2754  -4.27
1494  2.00 0.08 2868   0.98
1495  0.32 0.36 3323   8.69
1496  2.00 0.07 2850  -1.04
1497  0.98 0.12 3038   4.10
1498  0.45 0.18 3172   7.21
1499  2.00 0.07 2850   0.99
1500  2.00 0.04 2752  -2.16
1501 -0.22 0.74 3623  13.29
1503  0.73 0.11 2948   4.95
1504  0.78 0.10 2908   4.81
1505 -0.33 0.54 3456  13.56
1506  2.00 0.01 2349  -7.86
1507  2.00 0.06 2812   2.32
1509 -0.37 0.11 2940   9.11
1511  2.00 0.01 2383  -1.58
1512  0.59 0.03 2656   3.04
